id_entrega,id_estudiante,fecha_subida,materia,tipo_proyecto,puntaje_obtenido,estado_entrega
PRJ-1108,E002,2026-09-29,DataOps,Deploy,90.0,Aprobado
PRJ-1109,E003,2026-09-30,Desarrollo de Software,API REST,93.0,Aprobado
PRJ-1110,E006,2026-09-30,Sistemas de Bases de Datos,Script SQL,98.0,Aprobado
PRJ-1111,E007,2026-10-01,DataOps,Pipeline,89.0,Aprobado
PRJ-1112,E008,2026-10-01,Desarrollo de Software,Testing,95.0,Aprobado
PRJ-1113,E011,2026-10-02,Sistemas de Bases de Datos,Normalización,92.0,Aprobado
PRJ-1114,E012,2026-10-02,DataOps,Deploy,70.0,Revisión
PRJ-1115,E013,2026-10-03,Desarrollo de Software,Prototipo,96.0,Aprobado
PRJ-1116,E016,2026-10-03,Sistemas de Bases de Datos,Modelado ER,85.0,Aprobado
PRJ-1117,E020,2026-10-04,DataOps,Pipeline,88.0,Aprobado
PRJ-1118,E021,2026-10-04,Desarrollo de Software,API REST,100.0,Aprobado
PRJ-1119,E024,2026-10-05,Sistemas de Bases de Datos,Script SQL,94.0,Aprobado
PRJ-1120,E025,2026-10-05,DataOps,Deploy,91.0,Aprobado
PRJ-1121,E027,2026-10-06,Desarrollo de Software,Testing,97.0,Aprobado
PRJ-1122,E028,2026-10-06,Sistemas de Bases de Datos,Normalización,90.0,Aprobado
PRJ-1123,E031,2026-10-07,DataOps,Pipeline,,Pendiente
PRJ-1124,E033,2026-10-07,Desarrollo de Software,Prototipo,89.0,Aprobado
PRJ-1125,E035,2026-10-08,Sistemas de Bases de Datos,Modelado ER,95.0,Aprobado
PRJ-1126,E037,2026-10-08,DataOps,Deploy,98.0,Aprobado
PRJ-1127,E038,2026-10-09,Desarrollo de Software,API REST,87.0,Aprobado
PRJ-1128,E040,2026-10-09,Sistemas de Bases de Datos,Script SQL,93.0,Aprobado
PRJ-1129,E042,2026-10-10,DataOps,Pipeline,84.0,Aprobado
PRJ-1130,E043,2026-10-10,Desarrollo de Software,Testing,99.0,Aprobado
PRJ-1131,E045,2026-10-11,Sistemas de Bases de Datos,Normalización,91.0,Aprobado
PRJ-1132,E046,2026-10-11,DataOps,Deploy,90.0,Aprobado
PRJ-1133,E048,2026-10-12,Desarrollo de Software,Prototipo,94.0,Aprobado
PRJ-1134,E050,2026-10-12,Sistemas de Bases de Datos,Modelado ER,92.0,Aprobado
PRJ-1135,E051,2026-10-13,DataOps,Pipeline,96.0,Aprobado
PRJ-1136,E053,2026-10-13,Desarrollo de Software,API REST,89.0,Aprobado
PRJ-1137,E055,2026-10-14,Sistemas de Bases de Datos,Script SQL,98.0,Aprobado
PRJ-1138,E056,2026-10-14,DataOps,Deploy,86.0,Aprobado
PRJ-1139,E058,2026-10-15,Desarrollo de Software,Testing,100.0,Aprobado
PRJ-1140,E060,2026-10-15,Sistemas de Bases de Datos,Normalización,87.0,Aprobado
PRJ-1141,E001,2026-10-16,DataOps,Pipeline,95.0,Aprobado
PRJ-1142,E002,2026-10-16,Desarrollo de Software,Prototipo,88.0,Aprobado
PRJ-1143,E003,2026-10-17,Sistemas de Bases de Datos,Modelado ER,93.0,Aprobado
PRJ-1144,E006,2026-10-17,DataOps,Deploy,99.0,Aprobado
PRJ-1145,E007,2026-10-18,Desarrollo de Software,API REST,90.0,Aprobado
PRJ-1146,E008,2026-10-18,Sistemas de Bases de Datos,Script SQL,96.0,Aprobado
PRJ-1147,E011,2026-10-19,DataOps,Pipeline,91.0,Aprobado
PRJ-1148,E012,2026-10-19,Desarrollo de Software,Testing,72.0,Revisión
PRJ-1149,E013,2026-10-20,Sistemas de Bases de Datos,Normalización,97.0,Aprobado
PRJ-1150,E016,2026-10-20,DataOps,Deploy,87.0,Aprobado
